,sample_0,UK_united_kingdom_present,unit
dashboard_bio_footprint,0.25307216550492045,0,factor
dashboard_biomass_final_demand,261.7711128142687,0,PJ
dashboard_biomass_import_share,0.2895420635668179,0.313142607301897,factor
dashboard_biomass_primary_demand,462.60583020617645,0,PJ
dashboard_co2_emissions_versus_start_year,-0.0745608220352062,0,factor
dashboard_emissions,-0.062225868975193444,0,factor
dashboard_energy_demand_primary_of_final,6902346888464.704,0,MJ
dashboard_energy_demand_primary_of_final_plus_export_losses,6932043385864.557,7122131801794.304,MJ
dashboard_energy_import_netto,0.376951685395577,0,factor
dashboard_power_shortage_hours,0,0,hours
