input,sample_0,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9
households_number_of_inhabitants,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0
households_number_of_apartments_future,1250000.0,1250000.0,1250000.0,1250000.0,1250000.0,1250000.0,1250000.0,1250000.0,1250000.0,1250000.0
households_number_of_apartments_2005_present,390881.0,390881.0,390881.0,390881.0,390881.0,390881.0,390881.0,390881.0,390881.0,390881.0
households_number_of_apartments_1985_2004,365737.0,365737.0,365737.0,365737.0,365737.0,365737.0,365737.0,365737.0,365737.0,365737.0
households_number_of_apartments_1965_1984,463194.0,463194.0,463194.0,463194.0,463194.0,463194.0,463194.0,463194.0,463194.0,463194.0
households_number_of_apartments_1945_1964,202111.0,202111.0,202111.0,202111.0,202111.0,202111.0,202111.0,202111.0,202111.0,202111.0
households_number_of_apartments_before_1945,596642.0,596642.0,596642.0,596642.0,596642.0,596642.0,596642.0,596642.0,596642.0,596642.0
households_number_of_detached_houses_future,1700000.0,1700000.0,1700000.0,1700000.0,1700000.0,1700000.0,1700000.0,1700000.0,1700000.0,1700000.0
households_number_of_detached_houses_2005_present,5082495.0,5082495.0,5082495.0,5082495.0,5082495.0,5082495.0,5082495.0,5082495.0,5082495.0,5082495.0
households_number_of_detached_houses_1985_2004,4053141.0,4053141.0,4053141.0,4053141.0,4053141.0,4053141.0,4053141.0,4053141.0,4053141.0,4053141.0
households_number_of_detached_houses_1965_1984,5122637.0,5122637.0,5122637.0,5122637.0,5122637.0,5122637.0,5122637.0,5122637.0,5122637.0,5122637.0
households_number_of_detached_houses_1945_1964,2521224.0,2521224.0,2521224.0,2521224.0,2521224.0,2521224.0,2521224.0,2521224.0,2521224.0,2521224.0
households_number_of_detached_houses_before_1945,7117023.0,7117023.0,7117023.0,7117023.0,7117023.0,7117023.0,7117023.0,7117023.0,7117023.0,7117023.0
households_number_of_terraced_houses_future,1700000.0,1700000.0,1700000.0,1700000.0,1700000.0,1700000.0,1700000.0,1700000.0,1700000.0,1700000.0
households_number_of_terraced_houses_2005_present,761234.0,761234.0,761234.0,761234.0,761234.0,761234.0,761234.0,761234.0,761234.0,761234.0
households_number_of_terraced_houses_1985_2004,853832.0,853832.0,853832.0,853832.0,853832.0,853832.0,853832.0,853832.0,853832.0,853832.0
households_number_of_terraced_houses_1965_1984,985946.0,985946.0,985946.0,985946.0,985946.0,985946.0,985946.0,985946.0,985946.0,985946.0
households_number_of_terraced_houses_1945_1964,272300.0,272300.0,272300.0,272300.0,272300.0,272300.0,272300.0,272300.0,272300.0,272300.0
households_number_of_terraced_houses_before_1945,1600165.0,1600165.0,1600165.0,1600165.0,1600165.0,1600165.0,1600165.0,1600165.0,1600165.0,1600165.0
households_water_heater_solar_thermal_share,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2
households_heater_combined_hydrogen_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
households_heater_district_heating_ht_steam_hot_water_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
