Var no.,Static or (change) variable,Equivalent?,Complementary ,Synthetic,InVar no.,Section,Subsection,Category,Subcategory,Subcategory 2,Subcategory 3,Value (TO UPDATE),Unit,Unit description,InVar min value,InVar max value,Short methodology desc
1,Variable (c),,,,,Demand,Households,Population & Housing Stock,Population,,,78,mln,,,,Population projections
2,Variable (c),,,,,Demand,Households,Population & Housing Stock,Number of apartments,New residences,,"1,250,000.00",#,,,,Majority of residences in UK are houses
3,Static,,,,,Demand,Households,Population & Housing Stock,Number of apartments,2005 - present,,"390,881.00",#,,,,
4,Static,,,,,Demand,Households,Population & Housing Stock,Number of apartments,1985 - 2004,,"365,737.00",#,,,,
5,Static,,,,,Demand,Households,Population & Housing Stock,Number of apartments,1965 - 1984,,"463,194.00",#,,,,
6,Static,,,,,Demand,Households,Population & Housing Stock,Number of apartments,1945 - 1964,,"202,111.00",#,,,,
7,Static,,,,,Demand,Households,Population & Housing Stock,Number of apartments,< 1945,,"596,642.00",#,,,,
8.RATIOEQ.2,Variable (c),,,,,Demand,Households,Population & Housing Stock,Number of detached houses,New residences,,"1,700,000.00",#,,,,Majority of residences in UK are houses
9,Static,,,,,Demand,Households,Population & Housing Stock,Number of detached houses,2005 - present,,"5,082,495.00",#,,,,
10,Static,,,,,Demand,Households,Population & Housing Stock,Number of detached houses,1985 - 2004,,"4,053,141.00",#,,,,
11,Static,,,,,Demand,Households,Population & Housing Stock,Number of detached houses,1965 - 1984,,"5,122,637.00",#,,,,
12,Static,,,,,Demand,Households,Population & Housing Stock,Number of detached houses,1945 - 1964,,"2,521,224.00",#,,,,
13,Static,,,,,Demand,Households,Population & Housing Stock,Number of detached houses,< 1945,,"7,117,023.00",#,,,,
14.RATIOEQ.2,Variable (c),,,,,Demand,Households,Population & Housing Stock,Number of terraced houses,New residences,,"1,700,000.00",#,,,,Majority of residences in UK are houses
15,Static,,,,,Demand,Households,Population & Housing Stock,Number of terraced houses,2005 - present,,"761,234.00",#,,,,
16,Static,,,,,Demand,Households,Population & Housing Stock,Number of terraced houses,1985 - 2004,,"853,832.00",#,,,,
17,Static,,,,,Demand,Households,Population & Housing Stock,Number of terraced houses,1965 - 1984,,"985,946.00",#,,,,
18,Static,,,,,Demand,Households,Population & Housing Stock,Number of terraced houses,1945 - 1964,,"272,300.00",#,,,,
19,Static,,,,,Demand,Households,Population & Housing Stock,Number of terraced houses,< 1945,,"1,600,165.00",#,,,,
20,Variable (2),,,,,Demand,Households,Heat demand & insulation,Typical heat demand apartments,New residences,,26,kWh/m2,,,,
21,Variable (2),,,,,Demand,Households,Heat demand & insulation,Typical heat demand apartments,2005 - present,,26,kWh/m2,,,,
22,Variable (2),,,,,Demand,Households,Heat demand & insulation,Typical heat demand apartments,1985 - 2004,,27.3,kWh/m2,,,,30% reduction through retrofits
23,Variable (2),,,,,Demand,Households,Heat demand & insulation,Typical heat demand apartments,1965 - 1984,,40.6,kWh/m2,,,,30% reduction through retrofits
24,Variable (2),,,,,Demand,Households,Heat demand & insulation,Typical heat demand apartments,1945 - 1964,,62.3,kWh/m2,,,,30% reduction through retrofits
25,Variable (2),,,,,Demand,Households,Heat demand & insulation,Typical heat demand apartments,< 1945,,77.7,kWh/m2,,,,30% reduction through retrofits
26.RATIOEQ.20,Variable (2),,,,,Demand,Households,Heat demand & insulation,Typical heat demand detached houses,New residences,,62,kWh/m2,,,,
27.RATIOEQ.21,Variable (2),,,,,Demand,Households,Heat demand & insulation,Typical heat demand detached houses,2005 - present,,62,kWh/m2,,,,
28.RATIOEQ.22,Variable (2),,,,,Demand,Households,Heat demand & insulation,Typical heat demand detached houses,1985 - 2004,,77,kWh/m2,,,,30% reduction through retrofits
29.RATIOEQ.23,Variable (2),,,,,Demand,Households,Heat demand & insulation,Typical heat demand detached houses,1965 - 1984,,98.7,kWh/m2,,,,30% reduction through retrofits
30.RATIOEQ.24,Variable (2),,,,,Demand,Households,Heat demand & insulation,Typical heat demand detached houses,1945 - 1964,,133,kWh/m2,,,,30% reduction through retrofits
31.RATIOEQ.25,Variable (2),,,,,Demand,Households,Heat demand & insulation,Typical heat demand detached houses,< 1945,,147.7,kWh/m2,,,,30% reduction through retrofits
32.RATIOEQ.20,Variable (2),,,,,Demand,Households,Heat demand & insulation,Typical heat demand terraced houses,New residences,,26,kWh/m2,,,,
33.RATIOEQ.21,Variable (2),,,,,Demand,Households,Heat demand & insulation,Typical heat demand terraced houses,2005 - present,,26,kWh/m2,,,,
34.RATIOEQ.22,Variable (2),,,,,Demand,Households,Heat demand & insulation,Typical heat demand terraced houses,1985 - 2004,,27.3,kWh/m2,,,,30% reduction through retrofits
35.RATIOEQ.23,Variable (2),,,,,Demand,Households,Heat demand & insulation,Typical heat demand terraced houses,1965 - 1984,,40.6,kWh/m2,,,,30% reduction through retrofits
36.RATIOEQ.24,Variable (2),,,,,Demand,Households,Heat demand & insulation,Typical heat demand terraced houses,1945 - 1964,,62.3,kWh/m2,,,,30% reduction through retrofits
37.RATIOEQ.25,Variable (2),,,,,Demand,Households,Heat demand & insulation,Typical heat demand terraced houses,< 1945,,77.7,kWh/m2,,,,30% reduction through retrofits
38,Static,,,,,Demand,Households,Space heating & hot water,Hot water,Solar thermal collectors,,3.20%,% of hot water demand,,,,
39,Variable (c),,,,,Demand,Households,Space heating & hot water,Space heating and hot water,Condensing combi boiler (gas),,InVar,% of residences,,0%,100%,
40,Static,,,,,Demand,Households,Space heating & hot water,Space heating and hot water,Condensing combi boiler (hydrogen),,0%,% of residences,,,,
41,Static,,,,,Demand,Households,Space heating & hot water,Space heating and hot water,HT district heating,,0%,% of residences,,,,
42,Static,,,,,Demand,Households,Space heating & hot water,Space heating and hot water,MT district heating,,0%,% of residences,,,,
43,Static,,,,,Demand,Households,Space heating & hot water,Space heating and hot water,LT district heating,,0%,% of residences,,,,
44.COM.47,Variable (c),,Complementary,,,Demand,Households,Space heating & hot water,Space heating and hot water,Air heat pump,,InVar,% of residences,,0%,100%,
45.COM.SYN.21,Variable (c),,Complementary,,,Demand,Households,Space heating & hot water,Space heating and hot water,Ground heat pump,,InVar,% of residences,,0%,100%,
46,Static,,,,,Demand,Households,Space heating & hot water,Space heating and hot water,Aquathermal heat pump with TS (surface water),,0%,% of residences,,,,
47,Variable (c),,,,,Demand,Households,Space heating & hot water,Space heating and hot water,Hybrid air heat pump (gas),,InVar,% of residences,,0%,100%,
48,Static,,,,,Demand,Households,Space heating & hot water,Space heating and hot water,Hybrid air heat pump (hydrogen),,0%,% of residences,,,,
49,Static,,,,,Demand,Households,Space heating & hot water,Space heating and hot water,Hybrid air heat pump (oil),,0%,% of residences,,,,
