Var no.,Section,Subsection,Category,Subcategory,Subcategory 2,Subcategory 3,database_item,Extended_type
1,Demand,Households,Population & Housing Stock,Population,,,households_number_of_inhabitants,
2,Demand,Households,Population & Housing Stock,Number of apartments,New residences,,households_number_of_apartments_future,
3,Demand,Households,Population & Housing Stock,Number of apartments,2005 - present,,households_number_of_apartments_2005_present,
4,Demand,Households,Population & Housing Stock,Number of apartments,1985 - 2004,,households_number_of_apartments_1985_2004,
5,Demand,Households,Population & Housing Stock,Number of apartments,1965 - 1984,,households_number_of_apartments_1965_1984,
6,Demand,Households,Population & Housing Stock,Number of apartments,1945 - 1964,,households_number_of_apartments_1945_1964,
7,Demand,Households,Population & Housing Stock,Number of apartments,< 1945,,households_number_of_apartments_before_1945,
8,Demand,Households,Population & Housing Stock,Number of detached houses,New residences,,households_number_of_detached_houses_future,
9,Demand,Households,Population & Housing Stock,Number of detached houses,2005 - present,,households_number_of_detached_houses_2005_present,
10,Demand,Households,Population & Housing Stock,Number of detached houses,1985 - 2004,,households_number_of_detached_houses_1985_2004,
11,Demand,Households,Population & Housing Stock,Number of detached houses,1965 - 1984,,households_number_of_detached_houses_1965_1984,
12,Demand,Households,Population & Housing Stock,Number of detached houses,1945 - 1964,,households_number_of_detached_houses_1945_1964,
13,Demand,Households,Population & Housing Stock,Number of detached houses,< 1945,,households_number_of_detached_houses_before_1945,
14,Demand,Households,Population & Housing Stock,Number of terraced houses,New residences,,households_number_of_terraced_houses_future,
15,Demand,Households,Population & Housing Stock,Number of terraced houses,2005 - present,,households_number_of_terraced_houses_2005_present,
16,Demand,Households,Population & Housing Stock,Number of terraced houses,1985 - 2004,,households_number_of_terraced_houses_1985_2004,
17,Demand,Households,Population & Housing Stock,Number of terraced houses,1965 - 1984,,households_number_of_terraced_houses_1965_1984,
18,Demand,Households,Population & Housing Stock,Number of terraced houses,1945 - 1964,,households_number_of_terraced_houses_1945_1964,
19,Demand,Households,Population & Housing Stock,Number of terraced houses,< 1945,,households_number_of_terraced_houses_before_1945,
20,Demand,Households,Heat demand & insulation,Typical heat demand apartments,New residences,,households_insulation_level_apartments_future,
