variable_key,min_value,max_value
1,55.38,83.08
2,4.96,6.98
8.RATIOEQ.2,12.52,18.77
14.RATIOEQ.2,5.31,7.96
20,13.0,26.0
21,13.0,26.0
22,19.5,39.0
23,29.0,58.0
24,44.5,89.0
25,55.5,111.0
26.RATIOEQ.20,31.0,62.0
27.RATIOEQ.21,31.0,62.0
28.RATIOEQ.22,55.0,110.0
29.RATIOEQ.23,70.5,141.0
30.RATIOEQ.24,95.0,190.0
31.RATIOEQ.25,105.5,211.0
32.RATIOEQ.20,13.0,26.0
33.RATIOEQ.21,13.0,26.0
34.RATIOEQ.22,19.5,39.0
35.RATIOEQ.23,29.0,58.0
36.RATIOEQ.24,44.5,89.0
37.RATIOEQ.25,55.5,111.0
39,0.0,100.0
44.COM.47,0.0,100.0
45.COM.SYN.21,0.0,100.0
47,0.0,100.0
51,0.0,100.0
52.COM.51,0.0,100.0
56.EQ.45.COM.SYN.21,0.0,100.0
57.EQ.SYN.21,0.0,100.0
59.EQ.39+(SYNCOM.39*SYNCOM.SYN.20),0.0,100.0
60,0.0,89.0
63.COM.60,10.0,99.0
65,50.0,0.0
66.EQ.65.1,-50.0,0.0
67.EQ.65.2,-50.0,0.0
68.EQ.65.3,-50.0,0.0
69.EQ.65.4,-50.0,0.0
70.EQ.65.5,-50.0,0.0
71.EQ.65.6,-50.0,0.0
72.EQ.65.7,-50.0,0.0
76,0.0,5.0
77.EQ.76.1,0.0,5.0
78.EQ.76.2,0.0,5.0
79.EQ.76.3,0.0,5.0
80,0.0,10.0
81,0.0,90.0
82.EQ.81.1,0.0,90.0
83.EQ.81.2,0.0,90.0
118,0.0,5036070.0
119.COM.118,0.0,7554105.0
120,76.0,152.0
121,76.0,152.0
123,0.0,100.0
129.COM.130,0.0,100.0
133.COM.SYN.35,0.0,100.0
130,0.0,100.0
136,0.0,100.0
135.COM.136,0.0,100.0
139.EQ.130,0.0,100.0
140.EQ.129.COM.130,0.0,100.0
141.EQ.133.COM.SYN.35,0.0,100.0
143.EQ.123+(SYNCOM.123*SYNCOM.SYN.34),0.0,100.0
144,0.0,5.0
148,0.0,90.0
149.EQ.148,0.0,90.0
150,0.0,5.0
151,0.0,5.0
152,-5.0,5.0
153,0.0,100.0
154,0.0,100.0
155,0.0,100.0
156.SYNCOM.155,0.0,100.0
157,0.0,100.0
158.COM.157,0.0,100.0
159.COM.154,0.0,100.0
364,0.0,748.0
365,0.0,748.0
366,0.0,748.0
367,0.0,748.0
370,0.0,74800.0
371,0.0,74800.0
373,0.0,74800.0
379,0.0,74800.0
380,0.0,1.0
382,0.0,100.0
383.COM.382,0.0,100.0
384,0.0,74800.0
385,0.0,74800.0
386,0.0,74800.0
388,0.0,74800.0
389,0.0,37400.0
390,0.0,37400.0
391,0.0,37400.0
392,0.0,37400.0
394,0.0,7480.0
395,0.0,7480.0
398,0.0,7480.0
400,0.0,7480.0
401,0.0,7480.0
603,0.0,100.0
604,0.5,30.0
608,0.0,100.0
609,0.5,30.0
610,0.0,100.0
611,0.5,30.0
612,0.0,100.0
613,0.5,30.0
614,0.0,100.0
615,0.5,30.0
619,0.0,50000.0
620,0.5,30.0
624,0.0,10000.0
625,0.5,100.0
629,0.0,10000.0
630,0.5,100.0
634,0.0,50000.0
635,0.5,100.0
639,0.0,100.0
640,0.0,500.0
641,0.5,30.0
642,0.0,100.0
643,0.0,500.0
667,0.0,50.0
668,0.0,50.0
669,0.0,50.0
670,0.0,50.0
712,-2.0,2.0
713,2482.0,3500.0
714,3174.0,4500.0
715,3174.0,6500.0
717,755.0,1361.0
38,0.0,0.0
40,0.0,0.0
41,0.0,0.0
42,0.0,0.0
43,0.0,0.0
46,0.0,0.0
48,0.0,0.0
49,0.0,0.0
50,0.0,0.0
53,0.0,0.0
54,0.0,0.0
55,0.0,0.0
