index,variable_name
65,households_appliances_electricity_efficiency
118,buildings_number_of_buildings_future
604,volume_of_households_flexibility_p2p_electricity
609,volume_of_transport_car_using_electricity
611,volume_of_transport_bus_using_electricity
613,volume_of_transport_truck_using_electricity
615,volume_of_transport_van_using_electricity
620,volume_of_energy_flexibility_mv_batteries_electricity
625,volume_of_energy_flexibility_pumped_storage_electricity
630,volume_of_energy_flexibility_hv_opac_electricity
635,volume_of_energy_flexibility_flow_batteries_electricity
641,volume_of_energy_flexibility_wind_batteries_electricity
