Sam,,,,,,Grey bold left align = Calculated as proportion of another variable
Var no.,Formula,Min,Max,Sample 1,Sample 2,Sample 3
1,Current +/- 20%,55.38,83.08,63.27,67.76,56.939
2,Current +/- 20%,4.96,6.98,6.117,5.814,6.096
8.RATIOEQ.2,Current +/- 20%,12.52,18.77,16.097,15.154,16.031
14.RATIOEQ.2,Current +/- 20%,5.31,7.96,6.827,6.427,6.799
20,Current to -50%,13,26,17.87,24.041,13.58
21,Current to -50%,13,26,25.386,25.116,16.77
22,Current to -50%,19.5,39,23.771,20.224,20.365
23,Current to -50%,29,58,52.516,35.592,32.126
24,Current to -50%,44.5,89,47.255,52.14,69.442
25,Current to -50%,55.5,111,103.323,82.507,58.34
26.RATIOEQ.20,"Same reduction, diff ref value",31,62,42.614,57.328,32.384
27.RATIOEQ.21,"Same reduction, diff ref value",31,62,60.537,59.892,39.99
28.RATIOEQ.22,"Same reduction, diff ref value",55,110,67.047,57.043,57.439
29.RATIOEQ.23,"Same reduction, diff ref value",70.5,141,127.668,86.525,78.099
30.RATIOEQ.24,"Same reduction, diff ref value",95,190,100.882,111.31,148.247
31.RATIOEQ.25,"Same reduction, diff ref value",105.5,211,196.407,156.838,110.899
32.RATIOEQ.20,"Same reduction, diff ref value",13,26,17.87,24.041,13.58
33.RATIOEQ.21,"Same reduction, diff ref value",13,26,25.386,25.116,16.77
34.RATIOEQ.22,"Same reduction, diff ref value",19.5,39,23.771,20.224,20.365
35.RATIOEQ.23,"Same reduction, diff ref value",29,58,52.516,35.592,32.126
36.RATIOEQ.24,"Same reduction, diff ref value",44.5,89,47.255,52.14,69.442
37.RATIOEQ.25,"Same reduction, diff ref value",55.5,111,103.323,82.507,58.34
39,0 to 100% of households,0,100,37.405,86.102,24.986
SYNCOM.39,0 to 100% of households,0,100,62.595,13.898,75.014
SYN.20,% of SYNCOM.39,0,SYNCOM.39,48.645,11.891,29.884
SYN.21,% of SYN.20,0,SYN.20,43.276,7.897,4.078
44.COM.47,COM of 47,0,SYN.21,23.487,3.491,2.48
45.COM.SYN.21,COM of SYN.21,0,SYN.20,5.369,3.995,25.806
47,% of SYN.21,0,SYN.21,19.789,4.405,1.598
SYNCOM.SYN.20,COM of SYN.20,0,SYNCOM.39,13.95,2.006,45.13
51,% of SYNCOM.SYN.20,0,SYNCOM.SYN.20,2.857,0.521,21.04
52.COM.51,COM of 51,0,SYNCOM.SYN.20,11.092,1.486,24.09
56.EQ.45.COM.SYN.21,EQ to 45.COM.SYN.21,0,SYN.20,5.369,3.995,25.806
57.EQ.SYN.21,EQ to SYN.21,0,SYN.20,43.276,7.897,4.078
59.EQ.39+(SYNCOM.39*SYNCOM.SYN.20),39 plus SYNCOM.SYN.20,0,100,51.355,88.109,70.116
60,Current to 0,0,89,52.728,32.108,55.2
63.COM.60,Current to all but biomass,10,99,46.272,66.892,43.8
65,Current to +50%,50,0,4.447,26.202,1.563
66.EQ.65.1,Current to -50%,-50,VAR.65,4.447,26.202,1.563
67.EQ.65.2,Current to -50%,-50,VAR.65,4.447,26.202,1.563
68.EQ.65.3,Current to -50%,-50,VAR.65,4.447,26.202,1.563
69.EQ.65.4,Current to -50%,-50,VAR.65,4.447,26.202,1.563
70.EQ.65.5,Current to -50%,-50,VAR.65,4.447,26.202,1.563
71.EQ.65.6,Current to -50%,-50,VAR.65,4.447,26.202,1.563
72.EQ.65.7,Current to -50%,-50,VAR.65,4.447,26.202,1.563
