Sam,,,,,,Grey bold left align = Calculated as proportion of another variable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Var no.,Formula,Min,Max,Sample 1,Sample 2,Sample 3,Sample 4,Sample 5,Sample 6,Sample 7,Sample 8,Sample 9,Sample 10,Sample 11,Sample 12,Sample 13,Sample 14,Sample 15,Sample 16,Sample 17,Sample 18,Sample 19,Sample 20,Sample 21,Sample 22,Sample 23,Sample 24,Sample 25,Sample 26,Sample 27,Sample 28,Sample 29,Sample 30,Sample 31,Sample 32,Sample 33,Sample 34,Sample 35,Sample 36,Sample 37,Sample 38,Sample 39,Sample 40,Sample 41,Sample 42,Sample 43,Sample 44,Sample 45,Sample 46,Sample 47,Sample 48,Sample 49,Sample 50,Sample 51,Sample 52,Sample 53,Sample 54,Sample 55,Sample 56,Sample 57,Sample 58,Sample 59,Sample 60,Sample 61,Sample 62,Sample 63,Sample 64,Sample 65,Sample 66,Sample 67,Sample 68,Sample 69,Sample 70,Sample 71,Sample 72,Sample 73,Sample 74,Sample 75,Sample 76,Sample 77,Sample 78,Sample 79,Sample 80,Sample 81,Sample 82,Sample 83,Sample 84,Sample 85,Sample 86,Sample 87,Sample 88,Sample 89,Sample 90,Sample 91,Sample 92,Sample 93,Sample 94,Sample 95,Sample 96,Sample 97,Sample 98,Sample 99,Sample 100,Sample 101,Sample 102,Sample 103,Sample 104,Sample 105,Sample 106,Sample 107,Sample 108,Sample 109,Sample 110,Sample 111,Sample 112,Sample 113,Sample 114,Sample 115,Sample 116,Sample 117,Sample 118,Sample 119,Sample 120,Sample 121,Sample 122,Sample 123,Sample 124,Sample 125,Sample 126,Sample 127,Sample 128,Sample 129,Sample 130,Sample 131,Sample 132,Sample 133,Sample 134,Sample 135,Sample 136,Sample 137,Sample 138,Sample 139,Sample 140,Sample 141,Sample 142,Sample 143,Sample 144,Sample 145,Sample 146,Sample 147,Sample 148,Sample 149,Sample 150,Sample 151,Sample 152,Sample 153,Sample 154,Sample 155,Sample 156,Sample 157,Sample 158,Sample 159,Sample 160,Sample 161,Sample 162,Sample 163,Sample 164,Sample 165,Sample 166,Sample 167,Sample 168,Sample 169,Sample 170,Sample 171,Sample 172,Sample 173,Sample 174,Sample 175,Sample 176,Sample 177,Sample 178,Sample 179,Sample 180,Sample 181,Sample 182,Sample 183,Sample 184,Sample 185,Sample 186,Sample 187,Sample 188,Sample 189,Sample 190,Sample 191,Sample 192,Sample 193,Sample 194,Sample 195,Sample 196,Sample 197,Sample 198,Sample 199,Sample 200,Sample 201,Sample 202,Sample 203,Sample 204,Sample 205,Sample 206,Sample 207,Sample 208,Sample 209,Sample 210,Sample 211,Sample 212,Sample 213,Sample 214,Sample 215,Sample 216,Sample 217,Sample 218,Sample 219,Sample 220,Sample 221,Sample 222,Sample 223,Sample 224,Sample 225,Sample 226,Sample 227,Sample 228,Sample 229,Sample 230,Sample 231,Sample 232,Sample 233,Sample 234,Sample 235,Sample 236,Sample 237,Sample 238,Sample 239,Sample 240,Sample 241,Sample 242,Sample 243,Sample 244,Sample 245,Sample 246,Sample 247,Sample 248,Sample 249,Sample 250
1,Current +/- 20%,55.38,83.08,63.27,67.76,56.939,67.239,69.422,69.948,77.396,66.572,58.324,82.65,60.182,80.883,67.333,72.755,67.17,62.759,71.141,82.16,57.076,68.306,56.031,69.135,80.972,69.795,64.544,81.804,82.709,60.971,79.623,70.484,77.53,58.869,66.731,58.448,72.241,83.017,64.264,73.082,76.091,61.806,61.244,80.882,64.565,55.545,73.706,55.957,67.711,69.603,74.794,73.87,79.822,76.721,61.526,63.235,56.712,82.054,58.378,56.138,74.456,61.459,76.706,65.208,77.839,57.121,69.796,64.149,59.113,71.994,61.116,78.291,62.629,81.831,70.404,61.551,58.895,69.897,77.34,77.759,56.676,56.522,63.613,72.242,76.557,62.518,76.223,62.126,82.121,76.665,65.847,74.131,58.721,63.28,67.073,60.44,73.463,60.981,81.475,74.948,79.148,64.131,64.931,59.874,58.84,63.341,79.047,79.478,58.657,59.465,57.342,75.205,56.802,57.471,72.27,66.731,72.257,59.166,59.588,74.295,56.592,60.464,76.832,77.055,78.685,76.89,82.147,81.618,66,71.287,59.285,76.775,81.556,69.424,70.507,66.419,64.241,78.033,73.515,78.1,66.081,82.106,67.345,80.428,65.643,59.732,79.377,78.16,72.412,55.516,66.01,68.318,60.648,82.52,56.143,75.177,60.155,69.449,82.366,59.562,67.007,57.836,69.736,69.567,59.922,56.167,69.289,57.171,76.854,78.022,79.623,79.679,80.158,75.444,64.834,76.708,74.485,55.716,60.286,73.312,73.124,81.665,56.865,55.4,72.532,68.271,66.967,69.726,78.31,58.23,58.568,66.438,79.038,61.843,76.528,82.801,64.549,71.529,70.114,75.341,70.406,59.248,62.674,56.564,63.491,55.806,70.474,65.069,65.655,78.306,80.66,58.29,56.378,61.294,69.142,68.827,70.172,60.55,82.22,70.732,80.219,61.593,72.575,65.231,79.767,78.246,61.745,74.651,79.377,79.929,68.95,78.053,56.093,80.707,79.009,67.265,61.928,79.594,76.64,71.405,77.643,76.805,81.495,77.521,70.489,82.482,60.545,63.538,80.312,80.777,61.006,72.647
2,Current +/- 20%,4.96,6.98,6.117,5.814,6.096,5.846,6.831,6.509,5.416,6.885,6.823,5.188,5.91,5.913,5.787,5.79,6.886,5.47,5.454,6.385,5.159,5.408,5.873,5.873,6.431,5.372,5.686,5.41,5.665,6.651,6.97,6.824,5.311,5.787,6.089,5.859,6.02,5.944,5.964,6.433,5.237,6.827,5.506,5.81,6.126,6.703,6.105,6.653,5.43,5.741,5.914,5.045,6.405,5.243,6.025,5.695,6.703,5.981,5.261,6.688,5.161,6.479,5.129,5.633,6.662,6.369,5.822,6.021,6.194,5.114,5.209,6.072,5.119,6.328,6.666,5.814,5.36,5.881,5.888,6.416,5.958,6.013,6.358,5.34,5.888,5.518,6.91,6.058,6.079,5.123,5.116,5.154,6.369,5.221,6.581,4.976,5.427,5.568,6.902,5.947,5.708,5.024,5.904,6.711,6.254,5.433,6.441,6.474,5.53,5.686,5.405,6.38,6.555,5.178,6.213,6.04,5.265,5.906,5.371,6.336,5.61,6.545,6.851,6.222,5.984,6.709,5.32,5.855,5.027,5.752,5.912,5.464,5.502,6.153,6.934,6.571,5.039,5.619,5.103,6.692,6.641,6.149,5.48,6.353,5.217,5.314,6.942,5.351,5.16,6.015,5.908,5.265,5.992,5.559,5.59,5.456,5.885,5.853,5.159,5.986,5.588,5.384,6.971,6.806,5.607,5.391,6.019,6.931,5.909,6.086,6.266,6.775,6.752,6.016,4.995,5.063,6.166,6.755,5.457,5.45,5.342,6.471,6.592,5.144,6.388,6.5,5.505,5.262,6.289,6.958,5.823,5.821,6.333,5.65,5.685,6.379,5.534,5.451,5.27,5.184,5.079,5.413,5.131,6.422,5.582,5.821,5.341,5.706,6.316,4.988,6.564,6.529,5.481,6.522,5.527,5.529,6.144,6.125,5.535,6.08,6.135,5.639,6.592,5.584,6.051,6.105,6.008,5.648,6.654,6.542,5.577,5.84,6.365,5.859,6.025,6.867,6.019,5.902,6.704,5.063,5.463,5.773,5.48,5.272,6.008,5.076,5.236,5.142,6.931,5.525,5.446,6.214
8.RATIOEQ.2,Current +/- 20%,12.52,18.77,16.097,15.154,16.031,15.253,18.315,17.314,13.916,18.48,18.29,13.21,15.453,15.461,15.069,15.08,18.484,14.086,14.034,16.927,13.118,13.893,15.337,15.336,17.072,13.779,14.756,13.897,14.69,17.753,18.747,18.292,13.591,15.07,16.008,15.293,15.795,15.558,15.621,17.079,13.361,18.301,14.196,15.14,16.124,17.916,16.058,17.762,13.96,14.926,15.465,12.765,16.99,13.38,15.81,14.785,17.915,15.673,13.437,17.87,13.123,17.221,13.024,14.59,17.787,16.879,15.18,15.797,16.335,12.98,13.275,15.956,12.993,16.75,17.801,15.153,13.744,15.363,15.383,17.026,15.6,15.773,16.845,13.682,15.383,14.235,18.559,15.911,15.977,13.007,12.986,13.102,16.877,13.312,17.538,12.549,13.952,14.388,18.535,15.568,14.826,12.7,15.432,17.941,16.522,13.97,17.102,17.204,14.27,14.756,13.882,16.912,17.458,13.178,16.392,15.855,13.449,15.44,13.778,16.775,14.521,17.426,18.377,16.422,15.683,17.934,13.62,15.283,12.709,14.962,15.457,14.067,14.184,16.207,18.634,17.506,12.745,14.548,12.943,17.881,17.724,16.194,14.114,16.828,13.299,13.6,18.658,13.715,13.121,15.778,15.447,13.447,15.708,14.363,14.458,14.04,15.374,15.274,13.119,15.69,14.453,13.818,18.748,18.237,14.511,13.84,15.79,18.626,15.447,16,16.559,18.141,18.069,15.783,12.609,12.819,16.248,18.078,14.046,14.022,13.687,17.195,17.571,13.072,16.937,17.286,14.193,13.437,16.629,18.708,15.183,15.175,16.765,14.644,14.754,16.909,14.282,14.025,13.463,13.196,12.868,13.909,13.031,17.042,14.434,15.175,13.683,14.819,16.713,12.586,17.484,17.376,14.118,17.353,14.262,14.27,16.179,16.121,14.286,15.979,16.152,14.608,17.572,14.439,15.891,16.059,15.756,14.637,17.763,17.417,14.417,15.234,16.867,15.294,15.808,18.426,15.792,15.427,17.921,12.819,14.063,15.028,14.117,13.469,15.757,12.86,13.358,13.066,18.626,14.256,14.01,16.398
14.RATIOEQ.2,Current +/- 20%,5.31,7.96,6.827,6.427,6.799,6.469,7.768,7.343,5.902,7.838,7.757,5.603,6.554,6.557,6.391,6.396,7.84,5.974,5.952,7.179,5.564,5.892,6.505,6.504,7.241,5.844,6.259,5.894,6.23,7.53,7.951,7.758,5.764,6.391,6.789,6.486,6.699,6.599,6.625,7.244,5.667,7.762,6.021,6.421,6.839,7.599,6.811,7.534,5.921,6.331,6.559,5.414,7.206,5.675,6.706,6.271,7.598,6.648,5.699,7.579,5.566,7.304,5.524,6.188,7.544,7.159,6.438,6.7,6.928,5.505,5.63,6.767,5.511,7.104,7.55,6.427,5.829,6.516,6.525,7.221,6.617,6.69,7.145,5.803,6.525,6.038,7.872,6.748,6.776,5.517,5.508,5.557,7.158,5.646,7.438,5.322,5.918,6.102,7.861,6.603,6.288,5.386,6.545,7.609,7.008,5.925,7.253,7.297,6.053,6.258,5.888,7.173,7.404,5.589,6.953,6.725,5.704,6.549,5.844,7.115,6.159,7.391,7.794,6.965,6.652,7.606,5.776,6.482,5.39,6.346,6.556,5.966,6.016,6.874,7.903,7.425,5.406,6.17,5.49,7.584,7.517,6.868,5.986,7.137,5.641,5.768,7.914,5.817,5.565,6.692,6.552,5.703,6.662,6.092,6.132,5.955,6.521,6.478,5.564,6.654,6.13,5.861,7.952,7.735,6.154,5.87,6.697,7.9,6.552,6.786,7.023,7.694,7.664,6.694,5.348,5.437,6.891,7.667,5.957,5.947,5.805,7.293,7.453,5.544,7.184,7.331,6.02,5.699,7.053,7.935,6.44,6.436,7.111,6.211,6.257,7.172,6.058,5.949,5.71,5.597,5.458,5.899,5.527,7.228,6.122,6.436,5.804,6.285,7.088,5.338,7.416,7.37,5.988,7.36,6.049,6.052,6.862,6.838,6.059,6.777,6.85,6.196,7.453,6.124,6.74,6.811,6.683,6.208,7.534,7.387,6.115,6.461,7.154,6.487,6.705,7.815,6.698,6.543,7.601,5.437,5.965,6.374,5.987,5.713,6.683,5.455,5.665,5.542,7.9,6.046,5.942,6.955
20,Current to -50%,13,26,17.87,24.041,13.58,20.265,13.256,25.455,18.831,18.019,23.262,17.324,25.419,13.956,17.321,13.26,24.781,24.811,13.937,14.46,13.795,25.992,25.98,16.315,18.6,13.188,19.476,22.89,20.389,25.401,18.162,16.18,23.413,15.729,16.968,14.019,13.505,21.203,16.277,13.613,17.193,25.659,19.104,22.353,16.227,20.183,19.999,20.745,25.084,20.489,15.568,25.039,13.451,22.277,16.806,17.151,23.802,16.339,25.271,24.365,16.945,24.357,18.825,23.988,16.753,20.87,20.442,20.619,20.609,23.77,17.567,19.144,13.638,16.836,17.721,22.716,21.189,23.458,19.274,22.377,20.154,13.589,15.671,15.508,25.723,21.999,15.397,24.787,25.028,22.654,18.629,13.399,16.136,20.798,23.924,21.266,22.583,16.097,19.732,21.501,20.454,16.841,19.917,23.571,16.516,17.049,22.477,21.033,18.678,13.832,17.058,21.191,17.1,14.329,21.686,18.542,15.64,17.717,17.358,20.967,24.233,23.681,22.387,16.511,22.683,15.512,18.918,17.97,16.051,18.072,21.396,14.406,16.757,25.429,18.904,17.2,13.051,14.863,22.252,13.362,21.064,17.143,13.235,15.178,17.374,14.674,23.515,18.796,21.883,19.139,15.574,15.167,13.096,24.335,18.314,19.321,25.779,19.902,19.424,24.56,20.601,14.289,19.392,17.594,17.796,24.347,16.651,17.02,23.529,21.429,13.84,18.08,13.459,23.71,25.293,20.836,17.574,17.518,13.445,14.072,23.078,22.068,25.218,19.749,13.785,22.957,21.42,24.794,20.935,18.587,20.264,25.334,17.867,25.476,21.943,19.097,17.243,20.93,15.785,19.712,13.355,22.67,22.185,14.808,18.197,17.912,16.641,21.913,20.942,22.532,15.567,25.824,18.165,21.625,20.271,25.98,21.13,20.989,15.749,14.925,20.934,21.366,23.276,19.911,23.387,23.069,13.685,22.314,16.536,17.729,16.034,17.298,15.828,20.472,23.645,22.393,13.094,22.994,21.557,21.478,18.15,25.62,14.391,17.095,22,14.069,13.742,21.963,21.267,25.325,15.599,21.852
21,Current to -50%,13,26,25.386,25.116,16.77,18.661,15.49,15.978,15.339,23.784,17.947,14.567,23.326,17.088,22.823,15.921,15.897,17.381,15.576,17.146,14.881,14.13,19.219,15.643,21.974,14.175,25.07,13.278,21.46,19.557,13.206,24.47,24.667,17.619,17.389,13.469,24.027,19.69,13.185,17.611,17.334,24.257,25.124,16.734,13.642,18.724,23.898,18.277,24.946,16.127,21.668,25.411,19.596,18.56,20.393,24.347,22.943,14.697,20.412,13.987,16.592,20.578,24.189,24.936,18.093,22.857,16.182,24.42,25.854,21.493,24.8,21.249,20.713,15.071,19.002,20.498,23.745,24.211,21.034,21.681,14.026,24.793,17.618,24.886,24.605,23.541,21.477,15.632,14.283,22.31,23.96,24.401,25.465,16.001,21.374,14.218,15.589,25.893,20.006,18.096,18.941,13.127,23.517,19.959,13.759,15.51,22.015,15.464,14.711,14.164,16.616,21.22,22.852,20.222,24.329,14.781,19.627,24.018,19.577,21.462,23.971,25.052,20.959,16.818,20.013,13.531,23.217,21.142,19.22,16.87,23.321,21.145,23.558,13.37,18.688,14.609,25.659,13.293,23.429,21.483,16.041,24.35,17.099,23.356,23.939,22.452,23.061,15.129,17.324,15.23,16.121,14.416,17.828,24.18,21.742,13.368,25.369,15.101,13.926,15.28,18.601,16.917,25.095,20.113,23.745,22.902,13.548,18.861,17.64,17.464,19.228,17.419,24.054,19.266,19.37,18.173,20.146,18.168,25.444,15.032,16.249,20.669,15.115,25.014,17.085,20.252,17.539,16.917,14.776,18.001,17.721,14.665,24.755,16.299,19.261,13.272,22.779,16.928,18.167,18.373,13.381,19.282,20.457,15.417,17.602,19.489,18.657,13.439,18.6,14.513,19.376,24.388,23.458,14.332,24.446,22.32,14.056,13.097,16.371,24.168,23.066,13.53,13.24,14.294,21.897,22.39,21.692,17.484,25.486,16.669,23.881,17.486,24.323,21.812,25.169,25.377,22.536,19.874,21.907,20.565,23.666,16.815,13.64,16.816,21.677,21.704,15.31,23.928,13.111,22.633,16.889,20.608
22,Current to -50%,19.5,39,23.771,20.224,20.365,28.643,32.737,35.615,30.96,31.534,26.204,33.323,35.662,25.246,24.524,22.632,37.329,38.408,26.665,21.068,31.723,23.791,27.253,35.54,28.402,34.046,26.957,21.402,23.038,31.053,29.571,32.369,33.501,37.007,38.565,37.507,26.033,26.189,24.691,30.358,36.718,30.395,29.211,26.912,28.91,27.138,33.69,31.387,26.222,25.046,27.611,38.838,26.943,28.412,31.839,24.665,38.398,35.345,25.138,23.657,29.048,21.72,29.004,32.855,25.954,23.27,37.944,32.639,20.414,23.012,26.64,27.044,37.294,32.629,27.267,28.699,29.117,37.063,26.274,32.418,31.175,30.519,38.618,26.031,35.788,25.1,32.51,28.268,29.745,25.754,20.597,37.185,34.649,36.868,22.505,24.253,33.412,29.787,26.031,37.117,32.878,27.789,23.047,33.413,33.245,30.17,34.103,33.972,38.183,30.127,27.961,19.882,33.12,36.564,35.718,23.128,33.949,36.095,37.154,36.328,30.293,22.798,35.499,23.594,25.851,32.302,26.371,31.07,38.052,38.808,30.367,33.663,23.416,21.011,38.882,30.21,38.136,24.741,27.806,37.427,25.528,29.259,36.539,30.141,38.299,28.356,20.35,30.75,24.663,26.56,29.073,24.647,31.238,26.117,35.278,24.673,26.494,20.722,26.177,27.246,31.259,26.224,31.666,28.49,30.487,25.772,36.286,30.289,35.619,28.617,28.416,22.711,36.294,38.244,30.777,24.146,23.74,24.275,25.97,29.134,30.148,32.905,26.995,25.987,25.379,36.846,20.41,29.459,34.996,34.112,25.926,19.948,30.289,27.552,34.635,22.39,20.91,30.588,29.767,25.987,36.701,36.224,23.353,32.295,26.313,20.048,32.478,30.751,35.195,34.797,30.896,36.033,34.124,34.256,19.623,30.556,36.937,36.996,30.217,32.163,28.829,26.218,26.605,35.82,25.448,32.284,34.789,28.26,33.603,38.13,22.713,25.658,26.705,21.484,38.144,31.286,33.303,26.82,26.994,38.622,24.476,34.634,33.318,37.865,35.809,26.941,25.661,29.344,33.109,23.269,30.472,31.187
23,Current to -50%,29,58,52.516,35.592,32.126,50.726,54.402,39.964,32.455,55.711,53.253,48.398,53.777,35.946,52.743,55.845,35.175,46.466,55.008,54.425,57.27,44.709,33.551,38.182,56.539,39.688,46.115,49.632,40.254,41.123,43.703,48.679,54.126,32.093,55.179,50.418,47.447,51.804,52.889,38.791,44.582,30.769,38.817,30.151,55.734,41.236,43.786,54.169,42.467,30.309,57.919,56.018,33.146,46.705,53.124,29.655,52.588,39.179,42.854,56.615,30.636,53.782,44.673,52.021,54.062,52.671,56.24,52.377,35.565,44.56,31.688,44.799,44.765,33.658,34.753,31.403,47.405,49.813,45.304,49.143,48.01,33.523,40.588,39.147,29.013,37.729,51.688,57.126,51.486,32.101,50.066,57.794,36.705,32.303,45.549,49.946,55.518,55.507,43.849,48.473,45.042,51.977,55.614,33.972,42.243,46.152,57.261,55.757,37.592,55.784,38.617,51.377,52.546,41.581,40.639,32.278,46.676,35.622,54.52,45.354,41.419,30.761,52.876,32.054,57.103,30.308,52.456,29.879,40.901,46.451,46.179,35.706,29.102,38.366,35.986,47.707,49.403,34.034,50.285,30.146,31.569,55.217,30.966,45.306,50.392,36.195,34.956,46.97,44.114,53.593,49.749,42.867,38.192,40.816,43.247,43.575,52.236,30.707,45.075,29.564,32.002,50.61,30.453,34.371,31.583,33.905,35.509,42.058,32.684,46.088,33.137,31.661,39.395,45.821,38.091,40.586,48.398,32.825,52.982,51.49,33.221,33.691,52.193,41.128,37.617,44.856,49.689,30.161,53.739,55.381,35.275,55.345,41.803,57.905,43.873,54.061,46.816,35.819,54.394,42.122,37.193,53.128,55.898,53.426,57.598,32.438,55.96,32.889,57.741,40.69,40.104,48.123,37.133,43.742,50.618,46.394,38.964,33.754,47.191,36.475,52.058,52.604,49.735,48.222,34.083,46.278,31.332,52.433,29.221,31.716,44.403,51.75,42.374,46.143,53.288,40.259,57.241,41.827,39.344,42.164,54.197,43.18,44.313,52.825,51.602,47.777,53.769,35.223,39.449,56.288,32.464,57.415
24,Current to -50%,44.5,89,47.255,52.14,69.442,58.842,56.241,82.204,75.873,63.864,54.404,62.988,54.93,62.106,73.113,66.249,49.725,70.229,84.205,55.137,54.58,82.163,67.75,49.141,61.837,44.879,45.298,62.35,56.705,84.086,73.15,55.415,83.969,68.453,65.907,46.148,81.415,55.794,84.7,57.076,49.498,53.84,52.645,53.903,85.207,76.026,47.025,49.935,85.082,88.583,63.839,45.717,70.645,86.439,61.54,69.669,76.69,50.903,71.787,56.561,70.018,51.149,46.227,79.562,57.238,57.503,75.193,69.557,53.244,77.997,79.542,71.212,56.497,47.73,72.953,76.095,64.622,65.781,88.478,52.621,52.236,67.325,81.256,54.037,49.244,82.863,75.738,84.196,66.1,56.478,73.502,67.634,71.078,86.218,76.305,58.534,71.881,86.717,65.212,63.323,80.377,47.106,48.087,62.422,64.101,68.764,79.559,83.943,87.083,78.489,86.404,50.258,88.502,83.605,45.081,63.189,85.964,50.451,45.21,84.111,51.124,79.937,85.117,76.743,53.418,55.332,75.348,47.169,65.199,60.786,56.14,88.087,54.181,62.265,75.375,76.373,85.161,64.622,50.351,52.064,54.173,47.044,77.957,57.588,72.333,61.334,74.278,45.787,64.097,65.247,58.417,82.614,74.311,46.389,68.561,84.81,65.801,66.106,82.324,86.63,88.839,80.263,67.208,86.925,54.697,65.323,61.703,87.853,79.965,61.707,72.997,48.386,71.719,57.143,88.571,61.846,52.595,52.764,66.946,81.05,58.907,73.471,66.174,86.555,71.543,86.342,59.92,62.661,87.527,76.437,61.708,55.192,82.241,85.174,54.807,69.755,60.356,59.173,76.355,79.676,63.592,70.723,65.524,73.934,58.572,51.163,85.267,77.019,72.63,58.301,81.81,66.211,69.965,82.171,52.813,72.963,83.396,62.731,67.277,62.396,50.324,68.351,63.91,63.07,68.625,51.055,70.572,77.828,48.597,47.695,68.737,74.405,82.904,67.726,85.061,45.635,63.326,65.357,82.58,83.607,63.096,64.9,84.953,66.531,55.155,60.893,60.463,63.463,61.067,72.976,54.54,87.058
25,Current to -50%,55.5,111,103.323,82.507,58.34,79.075,96.786,93.913,75.738,109.068,92.628,85.146,74.986,94.638,104.703,92.975,75.354,79.956,90.815,82.481,78.939,103.193,109.505,77.317,83.614,64.488,99.18,97.59,61.421,91.764,104.43,85.005,65.384,91.779,69.365,85.87,69.412,68.952,78.635,68.364,69.471,95.444,91.97,62.288,59.495,86.207,56.465,86.168,58.885,80.25,73.955,97.157,82.235,109.291,88.079,96.691,93.898,82.517,62.967,101.24,58.909,72.554,62.047,78.427,104.832,55.855,59.473,96.961,103.506,103,74.328,71.5,67.363,71.88,91.195,88.251,104.199,88.435,98.208,56.203,96.527,86.284,78.782,110.628,88.219,75.04,72.496,85.939,64.067,92.905,58.013,59.18,74.299,76.467,79.225,72.903,55.56,94.558,80.071,89.835,99.792,89.064,78.981,62.563,98.763,109.113,108.374,94.011,75.316,69.686,57.063,70.296,83.858,77.8,92.766,89.661,63.07,72.499,80.968,69.745,101.634,71.763,109.835,58.717,78.281,58.132,104.156,66.441,69.191,70.307,80.509,96.238,86.989,103.125,82.603,83.14,90.508,80.504,71.167,79.179,89.837,105.455,87.372,56.739,66.876,94.934,93.645,104.168,73.663,84.047,56.537,108.876,108.324,92.039,107.107,78.552,108.388,91.017,60.753,81.616,66.943,61.084,106.966,89.961,102.722,71.161,78.238,96.247,60.633,62.968,66.765,60.233,107.355,100.576,97.458,56.303,102.644,98.972,76.047,103.886,59.787,88.695,90.924,109.264,98.328,59.341,106.109,74.762,97.939,92.271,72.856,103.342,87.391,101.234,76.554,92.572,60.422,75.763,78.46,79.316,88.045,88.034,73.967,77.739,92.964,84.976,89.394,101.825,56.244,82.17,109.107,103.49,92.127,93.487,69.156,74.603,98.728,108.701,96.842,57.983,89.85,101.064,110.828,78.168,77.492,78.593,99.569,74.556,66.843,66.031,79.747,83.638,68.075,69.303,105.139,90.09,57.813,78.148,109.665,90.874,78.241,78.709,62.569,79.709,88.388,75.705,85.056,89.928,90.138,101.156,80.845,84.885
