Sidebar item,Item key,Name,Raw key,User value,Unit
Supply,Biomass,Oil mix in demand sectors,agriculture_bio_kerosene_in_crude_oil_share,,%
Supply,Biomass,Oil mix in demand sectors,agriculture_biodiesel_in_crude_oil_share,,%
Demand,Agriculture energy demand,Heat,agriculture_burner_crude_oil_share,,%
Demand,Agriculture energy demand,Heat,agriculture_burner_hydrogen_share,,%
Demand,Agriculture energy demand,Heat,agriculture_burner_network_gas_share,,%
Demand,Agriculture energy demand,Heat,agriculture_burner_wood_pellets_share,,%
Supply,Biomass,Oil mix in demand sectors,agriculture_diesel_in_crude_oil_share,,%
Demand,Agriculture energy demand,Heat,agriculture_final_demand_ht_central_steam_hot_water_share,,%
Demand,Agriculture energy demand,Heat,agriculture_final_demand_local_steam_hot_water_share,,%
Demand,Agriculture energy demand,Heat,agriculture_final_demand_mt_central_steam_hot_water_share,,%
Demand,Agriculture energy demand,Heat,agriculture_geothermal_share,,%
Demand,Agriculture energy demand,Heat,agriculture_heatpump_water_water_electricity_share,,%
Demand,Agriculture energy demand,Heat,agriculture_heatpump_water_water_ts_electricity_share,,%
Supply,Biomass,Oil mix in demand sectors,agriculture_kerosene_in_crude_oil_share,,%
Supply,Biomass,Oil mix in demand sectors,agriculture_lpg_in_crude_oil_share,,%
Supply,Biomass,Oil mix in demand sectors,agriculture_other_bio_oil_in_crude_oil_share,,%
Supply,Biomass,Oil mix in demand sectors,agriculture_other_oil_in_crude_oil_share,,%
Demand,Agriculture energy demand,Development of demand,agriculture_useful_demand_electricity,,%
Demand,Agriculture energy demand,Development of demand,agriculture_useful_demand_useable_heat,,%
Flexibility,Electricity storage,Solar plants with storage systems,battery_capacity_always_on_solar_pv_solar_radiation,,%
Flexibility,Electricity storage,Wind turbines with storage systems,battery_capacity_always_on_wind_turbine_inland,,%
Demand,Energy demand non-residential buildings,Cooling,buildings_cooling_airconditioning_share,,%
Demand,Energy demand non-residential buildings,Cooling,buildings_cooling_collective_heatpump_water_water_ts_electricity_share,,%
Demand,Energy demand non-residential buildings,Cooling,buildings_cooling_heatpump_air_water_electricity_share,,%
Demand,Energy demand non-residential buildings,Cooling,buildings_cooling_heatpump_air_water_network_gas_share,,%
Demand,Energy demand non-residential buildings,Cooling,buildings_cooling_heatpump_surface_water_water_ts_electricity_share,,%
Demand,Energy demand non-residential buildings,Heat demand & insulation,buildings_insulation_level_buildings_future,,kWh/m2
Demand,Energy demand non-residential buildings,Heat demand & insulation,buildings_insulation_level_buildings_present,,kWh/m2
Demand,Energy demand non-residential buildings,Lighting,buildings_lighting_efficient_fluorescent_electricity_share,,%
